A8s	K9s	QJo	A7s	KTo	Q9s	A5s	66	A6s	QTo	J9s	A9o	T9s	A4s	K8s	JTo	K7s	A8o	A3s	Q8s	K9o	A2s	K6s	J8s	T8s	A7o
0,672822	0,446872	0,437585	0,639097	0,428089	0,458838	0,583210	0,695146	0,603101	0,441036	0,470741	0,679047	0,482581	0,555521	0,438630	0,453921	0,438298	0,656194	0,525053	0,450596	0,413037	0,497922	0,437912	0,462499	0,474339	0,620148
0,630453	0,676059	0,420258	0,634322	0,686316	0,436281	0,642324	0,672001	0,631030	0,423462	0,447771	0,604662	0,459202	0,641500	0,646671	0,435575	0,620929	0,604555	0,640677	0,425800	0,661675	0,728690	0,586050	0,437290	0,448721	0,608657
0,736354	0,645373	0,740413	0,603027	0,640293	0,655612	0,600794	0,532575	0,594991	0,651266	0,709669	0,617064	0,454365	0,597250	0,732175	0,719606	0,604222	0,723764	0,593312	0,741993	0,627752	0,593308	0,597029	0,524922	0,314921	0,581264
0,625387	0,633489	0,690495	0,624511	0,619468	0,673831	0,636985	0,664925	0,625249	0,679076	0,446810	0,599833	0,458240	0,722472	0,621920	0,433835	0,623752	0,599423	0,601775	0,646364	0,607883	0,598323	0,626895	0,433316	0,444747	0,598478
0,721473	0,633428	0,666416	0,593331	0,731471	0,643667	0,585206	0,528097	0,587428	0,726545	0,653225	0,604755	0,708110	0,585196	0,717294	0,734116	0,594527	0,707801	0,581258	0,727112	0,615379	0,581254	0,589466	0,735403	0,524922	0,571246
0,625772	0,633612	0,709620	0,625385	0,620426	0,644007	0,593258	0,647697	0,716429	0,631479	0,673932	0,597050	0,453048	0,589805	0,625149	0,682706	0,627470	0,599928	0,586353	0,635544	0,608257	0,582517	0,714715	0,650968	0,439968	0,599510
0,653147	0,707650	0,441155	0,656374	0,716771	0,456215	0,625060	0,691732	0,764269	0,441147	0,471891	0,632421	0,478905	0,621515	0,679367	0,458424	0,650426	0,634977	0,617970	0,442698	0,693759	0,614032	0,524936	0,458373	0,465387	0,638618
0,673693	0,447839	0,438575	0,644092	0,429080	0,459806	0,584522	0,700830	0,608046	0,442027	0,471709	0,683912	0,483549	0,558472	0,438704	0,454911	0,442563	0,657078	0,555300	0,450670	0,414028	0,525147	0,442171	0,462573	0,474413	0,625376
0,614590	0,622371	0,646534	0,614586	0,698531	0,632766	0,578378	0,634396	0,702782	0,696788	0,642485	0,585591	0,672666	0,578375	0,613967	0,710093	0,616671	0,588469	0,574922	0,624362	0,596735	0,571086	0,701068	0,634081	0,649783	0,588463
0,711353	0,726726	0,646979	0,588032	0,641162	0,721339	0,582433	0,524972	0,582523	0,649032	0,726151	0,702416	0,732933	0,574004	0,707165	0,661351	0,589222	0,696854	0,573995	0,713240	0,715918	0,573991	0,584554	0,721250	0,727124	0,565825
0,614186	0,615688	0,612492	0,676033	0,594215	0,620542	0,560660	0,605211	0,669698	0,602124	0,630389	0,586660	0,636480	0,555212	0,613125	0,613486	0,671125	0,589048	0,548996	0,617452	0,590381	0,538609	0,664991	0,627245	0,632883	0,662066
0,686477	0,627603	0,614235	0,596721	0,606578	0,633457	0,566861	0,615105	0,679844	0,613026	0,643326	0,598066	0,651654	0,561029	0,683020	0,624411	0,599533	0,673318	0,552728	0,680824	0,602745	0,552724	0,678462	0,691328	0,683268	0,570173
0,607788	0,696066	0,627673	0,607784	0,620310	0,694011	0,575793	0,625032	0,693374	0,629231	0,704640	0,686151	0,697784	0,567876	0,603955	0,640559	0,606764	0,581511	0,567872	0,613907	0,684011	0,564036	0,688284	0,623721	0,631976	0,581505
0,629637	0,633906	0,695033	0,626144	0,623134	0,674635	0,638129	0,666708	0,626393	0,683572	0,446813	0,600284	0,458244	0,637306	0,626170	0,434680	0,625384	0,603809	0,723923	0,650835	0,608335	0,601794	0,628039	0,437152	0,448583	0,600097
0,623149	0,628634	0,706790	0,623145	0,618430	0,639029	0,717763	0,659631	0,620353	0,629484	0,671117	0,594924	0,458794	0,598766	0,619682	0,679662	0,622386	0,597281	0,595313	0,630077	0,602974	0,591861	0,621999	0,648113	0,445330	0,597274
0,653731	0,705510	0,440519	0,656958	0,717764	0,459374	0,767227	0,701453	0,656886	0,444904	0,471277	0,633640	0,487307	0,633809	0,676869	0,457789	0,648746	0,635626	0,630264	0,445856	0,691269	0,626720	0,613555	0,457759	0,473372	0,639267
0,658659	0,666200	0,734154	0,762662	0,661782	0,713419	0,624757	0,562102	0,622489	0,721726	0,465678	0,638540	0,475341	0,621213	0,657556	0,451205	0,760527	0,641102	0,617668	0,687578	0,649178	0,613730	0,624603	0,452161	0,461823	0,751941
0,630113	0,637436	0,699601	0,630453	0,626863	0,678793	0,639274	0,669012	0,627980	0,688099	0,447637	0,604013	0,459068	0,638450	0,626647	0,435525	0,629694	0,604323	0,637627	0,651628	0,612064	0,725374	0,629731	0,437156	0,448586	0,604546
0,624722	0,632824	0,711525	0,624230	0,618819	0,643219	0,633994	0,661414	0,621438	0,629872	0,675600	0,599246	0,458798	0,719214	0,621256	0,680514	0,623471	0,598837	0,598784	0,631651	0,607297	0,595332	0,623084	0,649653	0,445334	0,598309
