x	AA	KK	QQ	JJ	TT	AKs	99	AQs	AKo	AJs	KQs	88	ATs	AQo	KJs	KTs	QJs	AJo	KQo	QTs	A9s	77	ATo	JTs	KJo
T8s	0,789861	0,792984	0,804249	0,817935	0,836156	0,628524	0,669073	0,630168	0,603211	0,632114	0,640240	0,619751	0,689145	0,605289	0,641884	0,700410	0,651776	0,607678	0,615963	0,695725	0,595784	0,513587	0,676410	0,701751	0,618041
A7o	0,933470	0,712728	0,717186	0,715266	0,715776	0,748271	0,709727	0,746780	0,736273	0,737202	0,457925	0,709333	0,727076	0,734972	0,457845	0,458120	0,474002	0,725028	0,424546	0,473859	0,704072	0,695754	0,714483	0,480936	0,424601
55	0,808886	0,804845	0,805192	0,805413	0,809559	0,480344	0,808362	0,483555	0,453828	0,486766	0,494823	0,810406	0,490941	0,457337	0,498034	0,502209	0,508547	0,460846	0,469453	0,512722	0,474999	0,812384	0,465365	0,523242	0,472961
Q9o	0,851168	0,863177	0,906549	0,714695	0,715858	0,674124	0,677930	0,757327	0,658137	0,647188	0,751422	0,552554	0,650415	0,748544	0,656742	0,659969	0,740241	0,629408	0,742915	0,730670	0,737885	0,538713	0,633052	0,456375	0,639615
98s	0,779402	0,782525	0,789950	0,803115	0,816976	0,628824	0,821698	0,618536	0,603286	0,617377	0,628587	0,609953	0,618834	0,592919	0,627125	0,628583	0,634301	0,592021	0,603569	0,635758	0,675914	0,509974	0,593889	0,647017	0,602360
K5s	0,837582	0,879980	0,682129	0,681911	0,684664	0,727341	0,675550	0,632358	0,717618	0,633175	0,706129	0,669329	0,637045	0,606683	0,697590	0,689848	0,444699	0,607574	0,693513	0,448510	0,622321	0,668338	0,611679	0,460000	0,684552
Q7s	0,835137	0,837762	0,881742	0,686790	0,687807	0,661890	0,682187	0,724354	0,637915	0,635113	0,721806	0,676619	0,638257	0,714332	0,644838	0,647981	0,704109	0,609609	0,711916	0,693065	0,626639	0,654619	0,613067	0,454906	0,619929
J9o	0,833635	0,845644	0,860444	0,889281	0,710932	0,661330	0,662528	0,662922	0,644538	0,744374	0,672383	0,545033	0,638412	0,646837	0,738468	0,647965	0,744610	0,734676	0,656951	0,658286	0,722945	0,534035	0,620617	0,729110	0,729046
A5o	0,918979	0,701523	0,702028	0,701797	0,704784	0,738602	0,694999	0,733385	0,725850	0,724244	0,452748	0,694035	0,715029	0,720527	0,455966	0,460014	0,467932	0,710944	0,419187	0,471980	0,688453	0,692319	0,701260	0,483883	0,422702
T9o	0,816102	0,828111	0,842911	0,858014	0,871687	0,648536	0,647158	0,650128	0,630938	0,652037	0,659590	0,537114	0,731420	0,633238	0,661499	0,725515	0,673524	0,635860	0,643351	0,731657	0,708064	0,526629	0,720808	0,741168	0,645973
A6o	0,935618	0,716681	0,717186	0,720908	0,718252	0,750761	0,711633	0,745584	0,738911	0,740130	0,457929	0,711239	0,726791	0,733630	0,462040	0,461898	0,474006	0,728028	0,424548	0,473864	0,703427	0,709523	0,714001	0,489958	0,428997
K4s	0,841640	0,883980	0,685763	0,685544	0,684671	0,731804	0,680748	0,635770	0,722436	0,636587	0,710349	0,671634	0,637403	0,610286	0,701770	0,690664	0,445523	0,611177	0,698060	0,448514	0,626512	0,670121	0,612067	0,460003	0,689057
K8o	0,881442	0,937705	0,722034	0,723849	0,724970	0,767568	0,719018	0,664787	0,759421	0,668014	0,752468	0,701627	0,671240	0,647189	0,743074	0,734089	0,468109	0,650833	0,741224	0,468385	0,659368	0,568437	0,654477	0,478110	0,731474
Q6s	0,830965	0,833718	0,877756	0,687011	0,684613	0,658256	0,678472	0,721631	0,634056	0,632605	0,719465	0,672903	0,632643	0,711308	0,643150	0,643187	0,701582	0,606924	0,709324	0,690498	0,620536	0,666703	0,607094	0,460408	0,618131
J7s	0,818699	0,821325	0,824576	0,865710	0,683189	0,649736	0,677648	0,652802	0,625298	0,712456	0,660779	0,672198	0,626956	0,628568	0,709908	0,636681	0,721789	0,701500	0,637091	0,647121	0,615397	0,641089	0,601482	0,691800	0,699084
T7s	0,802262	0,804887	0,808138	0,819285	0,849293	0,637583	0,673140	0,640649	0,612680	0,642293	0,648626	0,667808	0,700558	0,615951	0,650270	0,698010	0,661013	0,618029	0,624474	0,709891	0,604215	0,627395	0,688668	0,705384	0,626552
A4o	0,923361	0,705501	0,706006	0,705776	0,704809	0,743225	0,700667	0,737967	0,730793	0,728785	0,453673	0,696538	0,715884	0,725429	0,456890	0,460044	0,468856	0,715804	0,420149	0,472011	0,693431	0,694252	0,702139	0,483914	0,423663
97s	0,791803	0,790589	0,793839	0,804465	0,817914	0,625951	0,834756	0,629017	0,600311	0,627556	0,634201	0,667598	0,629013	0,603581	0,632740	0,634197	0,643537	0,602371	0,609238	0,644692	0,687326	0,617755	0,604240	0,654123	0,608028
K3s	0,845697	0,887980	0,689396	0,689178	0,688305	0,736325	0,680756	0,639241	0,727316	0,640057	0,714599	0,676832	0,640874	0,613952	0,705979	0,694833	0,446346	0,614843	0,702639	0,449337	0,626929	0,672425	0,615733	0,460827	0,693595
87s	0,775366	0,779343	0,782594	0,789901	0,802829	0,613976	0,816207	0,617042	0,587889	0,615580	0,632668	0,819652	0,617038	0,591159	0,622381	0,621221	0,633156	0,589944	0,607430	0,631694	0,613707	0,607630	0,591812	0,638792	0,597063
Q5s	0,833538	0,833465	0,877505	0,683131	0,685924	0,661156	0,676889	0,725890	0,637271	0,632451	0,720269	0,670799	0,636321	0,716036	0,640152	0,644021	0,698849	0,606924	0,710157	0,691432	0,621598	0,664599	0,611029	0,459836	0,614975
K7o	0,877082	0,933349	0,722288	0,720367	0,720919	0,764908	0,714967	0,663012	0,756492	0,662926	0,749648	0,709017	0,665632	0,645276	0,740213	0,731187	0,474235	0,645332	0,738127	0,474093	0,653759	0,696190	0,648406	0,481170	0,728329
44	0,813285	0,809244	0,809592	0,809813	0,809782	0,485868	0,813120	0,489080	0,459688	0,492291	0,500111	0,811417	0,495502	0,463197	0,503323	0,506534	0,513598	0,466706	0,475060	0,516810	0,484926	0,812825	0,470214	0,527093	0,478569
Q8o	0,863909	0,867163	0,920788	0,718848	0,720012	0,682945	0,714144	0,754606	0,667132	0,656010	0,767090	0,686631	0,659237	0,745545	0,665963	0,669190	0,741321	0,638397	0,759207	0,732418	0,647364	0,551478	0,642041	0,469508	0,649085
A3o	0,927753	0,709492	0,709997	0,709766	0,708800	0,747894	0,700705	0,742594	0,735779	0,733373	0,454616	0,702218	0,720430	0,730373	0,457833	0,460987	0,469799	0,720707	0,421123	0,472954	0,694291	0,696766	0,707000	0,484857	0,424638
K2s	0,849755	0,891979	0,693030	0,692811	0,691938	0,740904	0,684389	0,642771	0,732260	0,643587	0,718877	0,676839	0,644404	0,617681	0,710218	0,699031	0,447170	0,618572	0,707249	0,450161	0,630459	0,677624	0,619462	0,461650	0,698164
J8o	0,846376	0,849630	0,861781	0,903478	0,715085	0,670152	0,709302	0,671743	0,653533	0,741652	0,682013	0,671440	0,647233	0,655826	0,754128	0,657186	0,748870	0,731676	0,666836	0,667425	0,635420	0,546842	0,629606	0,730776	0,745339
Q4s	0,837596	0,837522	0,881504	0,686765	0,685932	0,664567	0,682088	0,730353	0,640881	0,635863	0,724692	0,673104	0,636680	0,720854	0,643563	0,644380	0,703029	0,610527	0,714933	0,692248	0,625788	0,666382	0,611417	0,459840	0,618578
T8o	0,828843	0,832097	0,844248	0,858922	0,885800	0,657358	0,704491	0,658950	0,639934	0,660859	0,669220	0,656195	0,728699	0,642227	0,670812	0,741174	0,680959	0,644849	0,653237	0,735916	0,623535	0,539478	0,717808	0,742239	0,655536
J6s	0,830972	0,833725	0,836479	0,878887	0,687255	0,658260	0,681714	0,661101	0,634060	0,723504	0,669897	0,676264	0,634627	0,637213	0,721338	0,645171	0,719408	0,713348	0,646624	0,655566	0,623068	0,670234	0,609218	0,695465	0,711363
K6o	0,876953	0,933360	0,718346	0,722069	0,719455	0,765508	0,712933	0,659151	0,757072	0,663256	0,746862	0,706983	0,663170	0,641091	0,741551	0,729312	0,473352	0,645540	0,735066	0,473210	0,650777	0,706017	0,645595	0,489304	0,729612
A2o	0,932155	0,713499	0,714004	0,713773	0,712807	0,752615	0,704712	0,747274	0,740812	0,738011	0,455583	0,702272	0,725028	0,735363	0,458801	0,461955	0,470767	0,725656	0,422113	0,473921	0,698848	0,702463	0,711907	0,485824	0,425628
T6s	0,814535	0,817288	0,820042	0,823175	0,862470	0,646107	0,677206	0,648947	0,621443	0,652014	0,657744	0,671875	0,711606	0,624596	0,660810	0,709440	0,669458	0,627866	0,634007	0,707510	0,611886	0,666002	0,700515	0,719569	0,637277
98o	0,817810	0,821052	0,829051	0,843155	0,858006	0,658121	0,870217	0,647145	0,640625	0,645748	0,657395	0,645471	0,647136	0,629409	0,655681	0,657069	0,662926	0,628449	0,640392	0,664314	0,714397	0,535799	0,630502	0,675846	0,639109
76s	0,775254	0,775308	0,779414	0,782546	0,789617	0,610585	0,802061	0,614455	0,584294	0,617521	0,617940	0,814965	0,616059	0,588399	0,621007	0,619545	0,637358	0,591669	0,592160	0,627070	0,612240	0,817216	0,590454	0,637768	0,595430
86s	0,787639	0,791744	0,790658	0,793791	0,804179	0,622500	0,817146	0,622235	0,596651	0,625301	0,629855	0,832710	0,626457	0,596511	0,632921	0,631459	0,638830	0,599781	0,604517	0,637368	0,623126	0,665408	0,601338	0,648088	0,607788
96s	0,804076	0,802989	0,805222	0,808354	0,819264	0,634475	0,847893	0,634210	0,609073	0,637276	0,640214	0,671664	0,638432	0,608938	0,643280	0,644435	0,651598	0,612209	0,615483	0,652754	0,698374	0,665950	0,613766	0,663418	0,618753
